Rank,Protocol,Interactions,Unique Safes,Contract Address
1,Morpho,130,4,"0xfbc7693f114273739c74a3ff028c13769c49f2d0,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb"
2,CowSwap,108,26,"0x9008d19f58aabd9ed0d60971565aa8510560ab41,0xcafeab8ea64dbf83e0cf85353abab5c4adc8da56"
3,Convex,100,4,"0x963f487796d54d2f27ba6f3fbe91154ca103b199,0x723f9aa67fdd9b0e375ef8553eb2afc28ecd4a96"
4,Booster,78,3,0xf403c135812408bfbe8713b5a23a04b3d48aae31
5,0x,69,4,"0xcafea9cb6c71be9adb08a7142678b4bc5d82c4fe,0x66612207a7e8d540b72edda94e3126935545a0b0,0x592e353c5b97356e99eaf6a72b971ba1c9695593"
6,Rocket Pool,46,2,0x6cc65bf618f55ce2433f9d8d827fc44117d81399
7,MemberRoles,25,1,0xcafea69fb5b61d15c0b4bea5a2c40177fbad6686
8,Ramm,25,1,0xcafea99c870c5dabaeeabfd86985a7040d05808f
9,ClaimZap,25,2,0xdd49a93fdcae579ae50b4b9923325e9e335ec82b
10,Staking,25,1,0xcafea518644e270f87c32ee95afe55cb2af5cd55
